Datetime,Tweet Id,Text,Username
2021-05-26 10:03:27+00:00,1397493575202578438,"İsrail, Joe Biden başkanlığındaki ABD yönetiminin, eski Başkan Donald Trump döneminde kapatılan Kudüs'teki konsolosluğun yeniden açma kararına itiraz etti.",TezHaber
2021-05-26 10:03:23+00:00,1397493558991491075,"@ademyarslan Alıştıra alıştıra verirsen şaşırtmaz tabi. Trump gibi direk dalmadik, yıllardır yolunu yaptık biz bu işin",ersoyan
2021-05-26 10:03:23+00:00,1397493558534361089,Trump's children take in millions overseas as president slams Biden's son https://t.co/LJIURGaClr,BregmanPs
2021-05-26 10:03:21+00:00,1397493550636539905,"Si @guyalepage était chef d'État, les gens iraient en prison sans avoir droit à un procès équitable...
Non content de s'inspirer de Trump dans sa communication, M. La Vertu a décidé d'abolir la présomption d'innocence. Adieu droits de la personne, adieu démocratie... https://t.co/4TSU4aHs48",PhilChose
2021-05-26 10:03:19+00:00,1397493544395419652,@OldPrague 😬😬😬😬😬 I agree with Trump ... fcuk,amiebaby3691
2021-05-26 10:03:19+00:00,1397493541862051842,The Public Deserves to See This Legal Memo About Donald Trump https://t.co/A2CAhfsZIT,ellenlebowitz
2021-05-26 10:03:18+00:00,1397493539735580675,"@RiettedeKlerk @theanimepfp @HatZuul @_Cars0n_ @JayLionel7 @thehill Yes, Bibas was appointed by Trump 😂 https://t.co/07voIVR5bf",sammk1964
2021-05-26 10:03:18+00:00,1397493537072205824,"How about 1) they’re under Trump and Putin’s thumb, owned and controlled.
2)  Republicans don’t want to give the Biden administration these Bills afraid if the midterm elections https://t.co/qL2eZupCTU",AltimariVincent
2021-05-26 10:03:16+00:00,1397493530222862336,"Except if it were information that damaged Trump, no further evidence would be necessary. The cognitive dissonance here is astounding. @maggieNYT is a hack just like the rest of the @nytimes. #WuhanLab #WuhanLabLeak 
https://t.co/SGfoCeAcSt",EsqMonty
2021-05-26 10:03:16+00:00,1397493529853644805,"@_randoomguy_ @tomileeriteboob George’s Life Was Precious.When Will We
Value EVERY LIFE.When Police shot Andrew Brown Jr.Driving away,Why didn’t They Shoot His tires⁉️
Racism Runs RAMPANT IN🇺🇸.When Trump Promotes Hate 4 Native🇺🇸’ns,Ppl of Color,BLk Ppl,Jews,Asian🇺🇸,Pacific Islanders,Trans/Gay,What Do We Expect",cher
2021-05-26 10:03:15+00:00,1397493526083035138,"""He should have his license strip from him, their argument don't make sense""
Trump’s fiery speech urging his supporters2“fight like hell” hours before the riot is protected by the First Amendment, his defense lawyer wrote in a Mon court filing.
https://t.co/lgs8qIxymj",lise_latulippe
